#W_0n	Temperature centrale	Temperature moyenne
3.85	9.77238e+06	6.23336e+06
3.86	9.78648e+06	6.24413e+06
3.87	9.80052e+06	6.25487e+06
3.88	9.81452e+06	6.26557e+06
3.89	9.82846e+06	6.27624e+06
3.9	9.84234e+06	6.28688e+06
3.91	9.85618e+06	6.29749e+06
3.92	9.86996e+06	6.30806e+06
3.93	9.88368e+06	6.3186e+06
3.94	9.89736e+06	6.32911e+06
3.95	9.91098e+06	6.33958e+06
3.96	9.92455e+06	6.35002e+06
3.97	9.93806e+06	6.36043e+06
3.98	9.95152e+06	6.3708e+06
3.99	9.96493e+06	6.38114e+06
4	9.97829e+06	6.39145e+06
4.01	9.9916e+06	6.40173e+06
4.02	1.00049e+07	6.41197e+06
4.03	1.00181e+07	6.42218e+06
4.04	1.00312e+07	6.43235e+06
4.05	1.00443e+07	6.4425e+06
4.06	1.00573e+07	6.45261e+06
4.07	1.00703e+07	6.46268e+06
4.08	1.00833e+07	6.47272e+06
4.09	1.00962e+07	6.48273e+06
4.1	1.0109e+07	6.49271e+06
4.11	1.01218e+07	6.50265e+06
4.12	1.01345e+07	6.51256e+06
4.13	1.01472e+07	6.52244e+06
4.14	1.01599e+07	6.53228e+06
4.15	1.01725e+07	6.54208e+06
4.16	1.0185e+07	6.55186e+06
4.17	1.01975e+07	6.5616e+06
4.18	1.02099e+07	6.57131e+06
4.19	1.02223e+07	6.58098e+06
4.2	1.02346e+07	6.59062e+06
4.21	1.02469e+07	6.60022e+06
4.22	1.02591e+07	6.6098e+06
4.23	1.02713e+07	6.61933e+06
4.24	1.02835e+07	6.62884e+06
4.25	1.02955e+07	6.63831e+06
4.26	1.03076e+07	6.64774e+06
4.27	1.03196e+07	6.65714e+06
4.28	1.03315e+07	6.66651e+06
4.29	1.03434e+07	6.67584e+06
4.3	1.03552e+07	6.68514e+06
4.31	1.0367e+07	6.69441e+06
4.32	1.03788e+07	6.70364e+06
4.33	1.03904e+07	6.71284e+06
4.34	1.04021e+07	6.722e+06
4.35	1.04137e+07	6.73113e+06
4.36	1.04252e+07	6.74022e+06
4.37	1.04367e+07	6.74928e+06
4.38	1.04482e+07	6.7583e+06
4.39	1.04596e+07	6.76729e+06
4.4	1.04709e+07	6.77625e+06
4.41	1.04822e+07	6.78517e+06
4.42	1.04935e+07	6.79406e+06
4.43	1.05047e+07	6.80291e+06
4.44	1.05159e+07	6.81172e+06
4.45	1.0527e+07	6.82051e+06
4.46	1.0538e+07	6.82925e+06
4.47	1.05491e+07	6.83797e+06
4.48	1.056e+07	6.84664e+06
4.49	1.0571e+07	6.85529e+06
4.5	1.05818e+07	6.8639e+06
4.51	1.05927e+07	6.87247e+06
